Name,Telnet,Location,Software
"WASTELANDS BBS","wastelands-bbs.net:2323","Copperopolis, CA, USA","Synchronet"
"WASTELANDS BBS II","wastelands-bbs.net","Copperopolis, CA, USA","Wildcat"
"WEATHER STATION BBS","bbs.weather-station.org","Bel Air, MD, USA","WWIV"
"WEED NET","weednet.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"WESTLAND BBS","bbs.korenblom.nl","Westland, ZH, The Netherlands","Mystic"
"* WESTWOOD BBS","westwoodbbs.net:64738","King George, VA, USA","Color 64"
"WHISKY LOVER'S AMATEUR RADIO BBS","wd1cks.org","Lake Forest, CA, USA","Synchronet"
"WHO DARES WINS AMIGA BBS","whodareswinsbbs.uk","Rotherham, , England","Mystic"
"WILDCAT'S CASTLE BBS","bbs.wccastle.net:2424","Eugene, OR, USA","Wildcat"
"WILLAMETTE APPLE CONNECTION (WAC) BBS","wacbbs.ddns.net:6502","Salem, OR, USA","Warp Six"
"WILLOW CREEK BBS","willowcreekbbs.dynu.net:6400","Carol Stream, IL, USA","Color 64"
"WINDOWS 10 CITY","win10.retro-os.live","Portland, OR, USA","Synchronet"
"WINDY CITY STUDY HOUSE","bbs.windcity.net","Taipei, , Taiwan","OpenPTT"
"WINTERMUTE BBS","wintermutebbs.ddns.net","Duesseldorf, , Germany","MBSE"
"WIZARD'S CASTLE","wccastle.synchro.net:24","Eugene, OR, USA","Synchronet"
"WIZARD'S RAINBOW","wizardsrainbow.com","Los Angeles, CA, USA","Wildcat"
"WIZZY BBS","wizzybbs.win","Buffalo, NY, USA","Synchronet"
"* WORD BBS","wordbbs.hopto.org:64128","Melbourne, VIC, Australia","Custom"
"WORLDS APART (TWGS)","tw.worldsapart.net:2002","Santa Clarita, CA, USA","TWGS"
"WORMHOLE II BBS","wh2bbs.us:2321","Portland, OR, USA","Synchronet"
"WRECK HALL","bbs.wreckhall.net","Ocala, FL, USA","Worldgroup"
"WRETCHED BEAGLE BBS","bbs.wretchedbeagle.com","Plainfield, IL, USA","WWIV"
"WRONG NUMBER ][ BBS","wn2.wrgnbr.com","Yorktown Heights, NY, USA","Mystic"
"WRONG NUMBER ][ BBS RETRO 1993!!","wn6.wrgnbr.com:6411","Yorktown Heights, NY, USA","Image BBS"
"WRONG NUMBER ][ V2.0","cib.dyndns.org:6405","Lakeland, FL, USA","Image BBS"
"WRONG NUMBER ]I[ BBS","wn3.wrgnbr.com:6400","Yorktown Heights, NY, USA","CNet Pro"
"WRONG NUMBER IV BBS","wn4.wrgnbr.com:3000","Yorktown Heights, NY, USA","Image BBS"
"X-BIT BBS","x-bit.org","Beaverton, OR, USA","Synchronet"
"X65.ZONE BBS (1)","bbs.x65.zone:8888","London, , England","Enigma 1/2"
"XIBALBA","xibalba.l33t.codes:44510","Salt Lake City, UT, USA","Enigma 1/2"
"Y4LQUZAQ BBS","5.230.40.16","Frankfurt am Main, , Germany","Mystic"
"YARD BBS","unknown.identi.ty.cg","Frankfurt am Main, , Germany","Daydream"
"ZELCH BBS","coffeemud.net:6502","Round Rock, TX, USA","Zelch 128"
"ZENBBS","zen.kawasu.wtf","Philadelphia, PA, USA","Synchronet"
"ZENOLAB","zenolab.synchro.net","San Juan, PR, USA","Synchronet"
"ZEROTWO'S BBS","bbs.zerotwo.tech","Richardson, TX, USA","Synchronet"
"ZONE BBS","66.61.41.20","Berea, OH, USA","Mystic"
"ZOOROPA BBS","52.4.41.44:2323","Ashburn, VA, USA","Mystic"
"ZOT TWGS","tw2002.zot.org:2002","Falkenstein, , Germany","TWGS"
"ZRUSPA'S BBS","bbs.zruspas.org","Madrid, , Spain","Synchronet"
